NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Age,Phases,Enrollment,Country,Start_year,Sponsor_type,trial_status_clean
NCT02968966,Pathophysiology Based Therapy of Early Onset Epileptic Encephalopathies,WITHDRAWN,Seizure  Epileptic,OTHER: Therapy regime,University Hospital Tuebingen,CHILD,PHASE2,0,Germany,2018,Academic,Other
NCT02229318,A Taste and Acceptance Study of FruitiVits in Children Aged 4-8 Years Following a Ketogenic Diet.,COMPLETED,Seizure Disorders,DIETARY_SUPPLEMENT: FruitiVits,Vitaflo InterNot SpecifiedtioNot Specifiedl  Ltd,CHILD,Not Specified,11,United States,2014,Industry,Completed
NCT06855901,Home Ultra-long Term EEG Monitoring for Rare Epilepsies and Developmental and Epileptic Encephalopathies,RECRUITING,Epilepsies|Epilepsies  Focal|Epileptic Encephalopathy,DEVICE: Ultra-longterm EEG monitoring at home by means of a scubscalp electrode implant.,Azienda Ospedaliero-Universitaria di ModeNot Specified,CHILD  ADULT  OLDER_ADULT,Not Specified,30,Italy,2024,Government/Other,Recruiting
NCT06143241,Cognitive Function and Glymphatic System in Children with Epilepsy,COMPLETED,Epilepsy|Cognitive Dysfunction|Seizure  Epileptic,DEVICE: Threshold IMT|DRUG: Antiepileptic medication,Ege University,CHILD,Not Specified,20,Turkey (TÃ¼rkiye),2024,Academic,Completed
NCT04572243,A Study of Lorcaserin as Adjunctive Treatment in Participants With Dravet Syndrome,TERMINot SpecifiedTED,Epilepsies  Myoclonic,DRUG: Placebo|DRUG: Lorcaserin,Eisai Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,22,United States,2020,Industry,Other
NCT01450423,Physical Exercise in Subjects With Juvenile Myoclonic Epilepsy,UNKNOWN,Epilepsy|Epilepsia|Epileptic Seizures|Seizure Disorder,BEHAVIORAL: Physical activity,Lars Bo Andersen,CHILD  ADULT,PHASE2,40,Denmark,2011,Government/Other,Other
NCT06550726,High-resolution Multi-parametric Magnetic ResoNot Specifiednce Imaging for Focal Epilepsy,RECRUITING,Epilepsies  Partial,DIAGNOSTIC_TEST: Magnetic ResoNot Specifiednce Imaging,Chinese University of Hong Kong,CHILD  ADULT  OLDER_ADULT,Not Specified,66,Hong Kong,2024,Academic,Recruiting
NCT05958069,The Efficacy and Safety of Minocycline in the Treatment of Drug-resistant Epilepsy in NORSE Patients,UNKNOWN,Epileptic Seizures Related to Drugs,DRUG: minocycline,Xijing Hospital,CHILD  ADULT  OLDER_ADULT,Not Specified,25,ChiNot Specified,2023,Academic,Other
NCT01745952,Treatment of Difficult to Control Focal Epilepsy With Repetitive Transcranial Magnetic Stimulation (rTMS),COMPLETED,Epilepsies  Partial,DEVICE: figure-of-eight active rTMS coil|DEVICE: round active rTMS coil|DEVICE: sham rTMS coil (figure-of-eight),Universitaire Ziekenhuizen KU Leuven,CHILD  ADULT  OLDER_ADULT,Not Specified,11,Belgium,2012,Government/Other,Completed
NCT03882151,Added Value of Automated Electrical Source Localization (EPILOG PreOpÂ®) to Presurgical Evaluation of Refractory Epilepsy,UNKNOWN,Epilepsies  Partial,DIAGNOSTIC_TEST: electrical source imaging,Cliniques universitaires Saint-Luc- UniversitÃ© Catholique de Louvain,CHILD  ADULT  OLDER_ADULT,Not Specified,30,Belgium,2019,Government/Other,Other
