start_year,phases,total_trials
1991,PHASE3,1
1992,PHASE3,1
1993,PHASE2,1
1993,PHASE3,2
1994,PHASE3,3
1995,PHASE3,1
1996,PHASE1,1
1997,PHASE3,1
1998,PHASE3,2
1999,PHASE3,3
2000,PHASE2,3
2000,PHASE3,1
2000,PHASE4,2
2001,PHASE1,2
2001,PHASE2,2
2001,PHASE3,4
2001,PHASE4,1
2002,PHASE2,3
2002,PHASE3,5
2002,PHASE4,3
2003,PHASE2,2
2003,PHASE3,3
2003,PHASE4,4
2004,PHASE1,1
2004,PHASE2,3
2004,PHASE3,10
2004,PHASE4,2
2005,PHASE1,2
2005,PHASE2,6
2005,PHASE3,8
2005,PHASE4,5
2006,PHASE1,1
2006,PHASE2,2
2006,PHASE3,18
2006,PHASE4,6
2007,PHASE2,4
2007,PHASE3,12
2007,PHASE4,2
2008,PHASE2,1
2008,PHASE3,16
2008,PHASE4,4
2009,PHASE1,1
2009,PHASE2,3
2009,PHASE3,5
2009,PHASE4,1
2010,PHASE2,4
2010,PHASE3,9
2010,PHASE4,3
2011,PHASE2,4
2011,PHASE3,14
2011,PHASE4,2
2012,PHASE1,1
2012,PHASE2,5
2012,PHASE3,10
2012,PHASE4,1
2013,PHASE1,2
2013,PHASE2,3
2013,PHASE3,8
2013,PHASE4,1
2014,PHASE1,2
2014,PHASE2,8
2014,PHASE3,9
2014,PHASE4,1
2015,PHASE1,2
2015,PHASE2,5
2015,PHASE3,13
2015,PHASE4,3
2016,PHASE1,1
2016,PHASE2,10
2016,PHASE3,7
2016,PHASE4,1
2017,PHASE1,3
2017,PHASE2,6
2017,PHASE3,13
2017,PHASE4,4
2018,PHASE1,2
2018,PHASE2,14
2018,PHASE3,7
2018,PHASE4,5
2019,PHASE1,2
2019,PHASE2,4
2019,PHASE3,6
2019,PHASE4,4
2020,PHASE1,1
2020,PHASE2,3
2020,PHASE3,6
2020,PHASE4,2
2021,PHASE1,3
2021,PHASE2,5
2021,PHASE3,9
2021,PHASE4,4
2022,PHASE2,9
2022,PHASE3,13
2022,PHASE4,5
2023,PHASE2,2
2023,PHASE3,4
2023,PHASE4,1
2024,PHASE1,1
2024,PHASE2,3
2024,PHASE3,6
2024,PHASE4,3
2025,PHASE1,1
2025,PHASE2,3
2025,PHASE3,7
2025,PHASE4,1
2026,PHASE2,2
2026,PHASE3,1
2026,PHASE4,3
