country,total_trials,global_share_pct
"United States",355,43.99
China,45,5.58
France,39,4.83
"United Kingdom",28,3.47
Japan,24,2.97
Canada,22,2.73
Belgium,21,2.60
India,20,2.48
Egypt,16,1.98
"South Korea",14,1.73
"Turkey (TÃƒÂ¼rkiye)",13,1.61
Italy,13,1.61
Netherlands,8,0.99
Australia,7,0.87
Germany,6,0.74
Iran,6,0.74
Austria,5,0.62
Israel,5,0.62
Taiwan,5,0.62
Brazil,4,0.50
Norway,4,0.50
Denmark,4,0.50
Spain,4,0.50
Malawi,3,0.37
Poland,3,0.37
Pakistan,3,0.37
"Hong Kong",2,0.25
Mexico,2,0.25
Russia,2,0.25
Uganda,2,0.25
Switzerland,2,0.25
Romania,2,0.25
"Democratic Republic of the Congo",2,0.25
Sweden,2,0.25
Vietnam,2,0.25
Kenya,2,0.25
Indonesia,2,0.25
Bangladesh,1,0.12
Czechia,1,0.12
"Saudi Arabia",1,0.12
Finland,1,0.12
Peru,1,0.12
Nigeria,1,0.12
Thailand,1,0.12
Malaysia,1,0.12
Georgia,1,0.12
Slovenia,1,0.12
"South Africa",1,0.12
Cyprus,1,0.12
Ireland,1,0.12
Bulgaria,1,0.12
Tanzania,1,0.12
"Burkina Faso",1,0.12
Jordan,1,0.12
"Sri Lanka",1,0.12
