start_year,USA,China,France,UK,India
1991,0,0,0,0,0
1992,0,0,0,0,0
1993,0,0,0,0,0
1994,0,0,0,0,0
1995,0,0,0,0,0
1996,1,0,0,0,0
1997,0,0,0,0,0
1998,0,0,0,0,0
1999,1,0,0,0,0
2000,4,0,0,0,0
2001,3,0,0,2,0
2002,6,0,0,0,0
2003,4,0,0,0,0
2004,10,0,0,0,0
2005,14,0,0,0,0
2006,12,2,2,0,0
2007,14,0,0,0,0
2008,11,0,1,1,0
2009,7,0,3,0,2
2010,11,1,0,0,0
2011,11,0,1,0,1
2012,12,1,1,0,5
2013,12,5,0,0,1
2014,17,2,4,2,0
2015,16,1,6,1,1
2016,15,3,2,2,1
2017,20,5,1,2,0
2018,28,0,3,3,2
2019,11,3,3,2,3
2020,17,1,2,3,1
2021,30,2,3,1,0
2022,19,4,1,0,1
2023,11,1,2,4,1
2024,15,11,2,2,1
2025,15,3,1,1,0
2026,8,0,1,2,0
